model,template_a,template_b,JSS,N
claude-haiku,T1,T2,1.0,75
claude-haiku,T1,T5,1.0,75
claude-haiku,T2,T3,1.0,75
claude-haiku,T3,T4,1.0,75
claude-haiku,T4,T5,1.0,57
claude-sonnet,T1,T2,1.0,75
claude-sonnet,T1,T5,1.0,75
claude-sonnet,T2,T3,1.0,75
claude-sonnet,T3,T4,1.0,75
claude-sonnet,T4,T5,1.0,57
deepseek,T1,T2,1.0,75
deepseek,T1,T5,1.0,75
deepseek,T2,T3,1.0,75
deepseek,T3,T4,1.0,75
deepseek,T4,T5,1.0,57
gemini-flash,T1,T2,1.0,25
gemini-flash,T1,T5,1.0,25
gemini-flash,T2,T3,1.0,25
gemini-flash,T3,T4,1.0,25
gemini-flash,T4,T5,1.0,19
gpt-4o,T1,T2,1.0,75
gpt-4o,T1,T5,1.0,75
gpt-4o,T2,T3,1.0,75
gpt-4o,T3,T4,1.0,75
gpt-4o,T4,T5,1.0,57
gpt-4o-mini,T1,T2,1.0,75
gpt-4o-mini,T1,T5,1.0,75
gpt-4o-mini,T2,T3,1.0,75
gpt-4o-mini,T3,T4,1.0,75
gpt-4o-mini,T4,T5,1.0,57
llama3-70b,T1,T2,1.0,75
llama3-70b,T1,T5,1.0,75
llama3-70b,T2,T3,1.0,75
llama3-70b,T3,T4,1.0,75
llama3-70b,T4,T5,1.0,57
mistral-7b,T1,T2,0.9466666666666667,75
mistral-7b,T1,T5,0.9733333333333334,75
mistral-7b,T2,T3,1.0,75
mistral-7b,T3,T4,0.72,75
mistral-7b,T4,T5,0.7368421052631579,57
qwen,T1,T2,0.92,75
qwen,T1,T5,0.9466666666666667,75
qwen,T2,T3,0.9466666666666667,75
qwen,T3,T4,0.9333333333333333,75
qwen,T4,T5,0.9649122807017544,57
