model,JSS_no_T4,JSS_with_T4_corrected,delta,N_no_T4,N_with_T4
claude-haiku,1.0,1.0,0.0,225,132
claude-sonnet,1.0,1.0,0.0,225,132
deepseek,0.9956,1.0,-0.0044,225,132
gemini-flash,1.0,1.0,0.0,75,44
gpt-4o-mini,1.0,1.0,0.0,225,132
gpt-4o,1.0,1.0,0.0,225,132
llama3-70b,1.0,1.0,0.0,225,132
mistral-7b,0.9733,0.7284,0.2449,225,132
qwen,1.0,1.0,0.0,211,123
gpt-5.5,0.9956,1.0,-0.0044,225,132
claude-opus-4-7,1.0,1.0,0.0,225,132
qwen-3.6-flash,1.0,1.0,0.0,225,132
deepseek-v4-flash,0.9867,1.0,-0.0133,225,132
